index,fname,label
0,Aadel_Alkalbani_(MP3_Quran)_part1.wav,Aadel_Alkalbani_(MP3_Quran)
1,Aadel_Alkalbani_(MP3_Quran)_part10.wav,Aadel_Alkalbani_(MP3_Quran)
2,Aadel_Alkalbani_(MP3_Quran)_part100.wav,Aadel_Alkalbani_(MP3_Quran)
3,Aadel_Alkalbani_(MP3_Quran)_part101.wav,Aadel_Alkalbani_(MP3_Quran)
4,Aadel_Alkalbani_(MP3_Quran)_part102.wav,Aadel_Alkalbani_(MP3_Quran)
5,Aadel_Alkalbani_(MP3_Quran)_part103.wav,Aadel_Alkalbani_(MP3_Quran)
6,Aadel_Alkalbani_(MP3_Quran)_part104.wav,Aadel_Alkalbani_(MP3_Quran)
7,Aadel_Alkalbani_(MP3_Quran)_part105.wav,Aadel_Alkalbani_(MP3_Quran)
8,Aadel_Alkalbani_(MP3_Quran)_part106.wav,Aadel_Alkalbani_(MP3_Quran)
9,Aadel_Alkalbani_(MP3_Quran)_part107.wav,Aadel_Alkalbani_(MP3_Quran)
10,Aadel_Alkalbani_(MP3_Quran)_part108.wav,Aadel_Alkalbani_(MP3_Quran)
11,Aadel_Alkalbani_(MP3_Quran)_part109.wav,Aadel_Alkalbani_(MP3_Quran)
12,Aadel_Alkalbani_(MP3_Quran)_part11.wav,Aadel_Alkalbani_(MP3_Quran)
13,Aadel_Alkalbani_(MP3_Quran)_part110.wav,Aadel_Alkalbani_(MP3_Quran)
14,Aadel_Alkalbani_(MP3_Quran)_part111.wav,Aadel_Alkalbani_(MP3_Quran)
15,Aadel_Alkalbani_(MP3_Quran)_part112.wav,Aadel_Alkalbani_(MP3_Quran)
16,Aadel_Alkalbani_(MP3_Quran)_part113.wav,Aadel_Alkalbani_(MP3_Quran)
17,Aadel_Alkalbani_(MP3_Quran)_part114.wav,Aadel_Alkalbani_(MP3_Quran)
18,Aadel_Alkalbani_(MP3_Quran)_part115.wav,Aadel_Alkalbani_(MP3_Quran)
19,Aadel_Alkalbani_(MP3_Quran)_part116.wav,Aadel_Alkalbani_(MP3_Quran)
20,Aadel_Alkalbani_(MP3_Quran)_part117.wav,Aadel_Alkalbani_(MP3_Quran)
21,Aadel_Alkalbani_(MP3_Quran)_part118.wav,Aadel_Alkalbani_(MP3_Quran)
22,Aadel_Alkalbani_(MP3_Quran)_part119.wav,Aadel_Alkalbani_(MP3_Quran)
23,Aadel_Alkalbani_(MP3_Quran)_part12.wav,Aadel_Alkalbani_(MP3_Quran)
24,Aadel_Alkalbani_(MP3_Quran)_part120.wav,Aadel_Alkalbani_(MP3_Quran)
25,Aadel_Alkalbani_(MP3_Quran)_part121.wav,Aadel_Alkalbani_(MP3_Quran)
26,Aadel_Alkalbani_(MP3_Quran)_part122.wav,Aadel_Alkalbani_(MP3_Quran)
27,Aadel_Alkalbani_(MP3_Quran)_part123.wav,Aadel_Alkalbani_(MP3_Quran)
28,Aadel_Alkalbani_(MP3_Quran)_part124.wav,Aadel_Alkalbani_(MP3_Quran)
29,Aadel_Alkalbani_(MP3_Quran)_part125.wav,Aadel_Alkalbani_(MP3_Quran)
